Policy_Area,Dataset,Variable,Year,Count,Tract,tractnumber,Neighborhood,GEOID,Row_ID,Date,Location,Los Angeles Incorporated Cities,DPW_CITY_BOUNDARIES_from_dmu2_xaer,la_county_tracts_from_jczq_z5ui,City Boundaries_from_22pk_kkuz,LA Neighborhoods_from_5ikr_59ci,layer_0_from_yr99_sgmi,layer_0_from_mgnu_zr5s,New Neighborhoods_from_s3dq_ztay,Neighborhoods_from_5jp5_kw3x,Neighborhoods_from_gw34_aa8i
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 4076.01, Los Angeles County, California",407601,La Puente,1400000US06037407601,Sheltered_Population_2017_1400000US06037407601,01/01/2017 12:00:00 AM,"(34.0383465, -117.947004)",62,318,630,62,126,65,65,66,68,66
Housing & Real Estate,Homelessness,Unsheltered Population,2017,0,"Census Tract 5016, Los Angeles County, California",501600,Whittier,1400000US06037501600,Unsheltered_Population_2017_1400000US06037501600,01/01/2017 12:00:00 AM,"(33.9783585, -118.0077355)",80,160,1034,80,266,22,22,22,23,23
Housing & Real Estate,Homelessness,Unsheltered Population,2018,3,"Census Tract 4081.41, Los Angeles County, California",408141,South San Jose Hills,1400000US06037408141,Unsheltered_Population_2018_1400000US06037408141,01/01/2018 12:00:00 AM,"(34.0082915, -117.8946755)",,316,1330,,218,192,186,188,189,189
Housing & Real Estate,Homelessness,Unsheltered Population,2017,26,"Census Tract 4038.02, Los Angeles County, California",403802,Charter Oak,1400000US06037403802,Unsheltered_Population_2017_1400000US06037403802,01/01/2017 12:00:00 AM,"(34.103074, -117.8463645)",,212,1947,,44,118,117,120,117,117
Housing & Real Estate,Homelessness,Unsheltered Population,2018,3,"Census Tract 5319.01, Los Angeles County, California",531901,East Los Angeles,1400000US06037531901,Unsheltered_Population_2018_1400000US06037531901,01/01/2018 12:00:00 AM,"(34.013511, -118.142268)",,220,1695,,69,41,41,42,43,43
Housing & Real Estate,Homelessness,Total Homeless Population,2018,3,"Census Tract 5020.03, Los Angeles County, California",502003,Whittier,1400000US06037502003,Total_Homeless_Population_2018_1400000US06037502003,01/01/2018 12:00:00 AM,"(33.963017, -118.0392825)",80,160,127,80,266,22,22,22,23,23
Housing & Real Estate,Homelessness,Unsheltered Population,2017,4,"Census Tract 5017, Los Angeles County, California",501700,Whittier,1400000US06037501700,Unsheltered_Population_2017_1400000US06037501700,01/01/2017 12:00:00 AM,"(33.961379, -118.0189855)",80,160,1405,80,266,22,22,22,23,23
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 5308.01, Los Angeles County, California",530801,East Los Angeles,1400000US06037530801,Sheltered_Population_2017_1400000US06037530801,01/01/2017 12:00:00 AM,"(34.050936, -118.187759)",,220,2307,,69,41,41,42,43,43
Housing & Real Estate,Homelessness,Total Homeless Population,2017,33,"Census Tract 4332, Los Angeles County, California",433200,El Monte,1400000US06037433200,Total_Homeless_Population_2017_1400000US06037433200,01/01/2017 12:00:00 AM,"(34.0683885, -118.035671)",65,323,1339,65,73,127,123,126,123,123
Housing & Real Estate,Homelessness,Total Homeless Population,2017,1,"Census Tract 4814.02, Los Angeles County, California",481402,San Gabriel,1400000US06037481402,Total_Homeless_Population_2017_1400000US06037481402,01/01/2017 12:00:00 AM,"(34.083295, -118.091542)",7,217,2272,7,195,143,142,145,146,146
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 4314, Los Angeles County, California",431400,Mayflower Village,1400000US06037431400,Sheltered_Population_2017_1400000US06037431400,01/01/2017 12:00:00 AM,"(34.111617, -118.0087095)",,190,1383,,142,11,11,11,11,11
Housing & Real Estate,Homelessness,Total Homeless Population,2017,18,"Census Tract 4824.01, Los Angeles County, California",482401,Rosemead,1400000US06037482401,Total_Homeless_Population_2017_1400000US06037482401,01/01/2017 12:00:00 AM,"(34.0676445, -118.0862325)",68,328,997,68,191,194,188,190,191,191
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 4071.01, Los Angeles County, California",407101,La Puente,1400000US06037407101,Sheltered_Population_2018_1400000US06037407101,01/01/2018 12:00:00 AM,"(34.047535, -117.972437)",62,318,1531,62,126,65,65,66,68,66
Housing & Real Estate,Homelessness,Unsheltered Population,2018,0,"Census Tract 4641, Los Angeles County, California",464100,San Marino,1400000US06037464100,Unsheltered_Population_2018_1400000US06037464100,01/01/2018 12:00:00 AM,"(34.1211415, -118.123201)",9,227,2270,9,196,30,30,31,19,19
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 4081.38, Los Angeles County, California",408138,South San Jose Hills,1400000US06037408138,Sheltered_Population_2017_1400000US06037408138,01/01/2017 12:00:00 AM,"(34.019139, -117.9167095)",,316,2184,,218,192,186,188,189,189
Housing & Real Estate,Homelessness,Unsheltered Population,2018,2,"Census Tract 5037.03, Los Angeles County, California",503703,La Mirada,1400000US06037503703,Unsheltered_Population_2018_1400000US06037503703,01/01/2018 12:00:00 AM,"(33.9100105, -117.985431)",82,310,1679,82,124,146,150,153,154,154
Housing & Real Estate,Homelessness,Unsheltered Population,2018,0,"Census Tract 4821.02, Los Angeles County, California",482102,Monterey Park,1400000US06037482102,Unsheltered_Population_2018_1400000US06037482102,01/01/2018 12:00:00 AM,"(34.0507125, -118.1328745)",87,299,2019,87,155,102,103,106,102,101
Housing & Real Estate,Homelessness,Unsheltered Population,2017,0,"Census Tract 4326.02, Los Angeles County, California",432602,El Monte,1400000US06037432602,Unsheltered_Population_2017_1400000US06037432602,01/01/2017 12:00:00 AM,"(34.081728, -118.005815)",65,323,14,65,73,127,123,126,123,123
Housing & Real Estate,Homelessness,Total Homeless Population,2017,47,"Census Tract 5326.05, Los Angeles County, California",532605,Huntington Park,1400000US06037532605,Total_Homeless_Population_2017_1400000US06037532605,01/01/2017 12:00:00 AM,"(33.984243, -118.225147)",26,192,1661,26,109,39,39,40,40,40
Housing & Real Estate,Homelessness,Unsheltered Population,2017,5,"Census Tract 4033.17, Los Angeles County, California",403317,Pomona,1400000US06037403317,Unsheltered_Population_2017_1400000US06037403317,01/01/2017 12:00:00 AM,"(34.0373535, -117.7844315)",66,324,1670,66,178,47,47,48,48,48
Housing & Real Estate,Homelessness,Total Homeless Population,2017,4,"Census Tract 5036.01, Los Angeles County, California",503601,La Mirada,1400000US06037503601,Total_Homeless_Population_2017_1400000US06037503601,01/01/2017 12:00:00 AM,"(33.9226515, -118.012887)",82,310,1678,82,124,146,150,153,154,154
Housing & Real Estate,Homelessness,Unsheltered Population,2018,2,"Census Tract 4064.11, Los Angeles County, California",406411,West Covina,1400000US06037406411,Unsheltered_Population_2018_1400000US06037406411,01/01/2018 12:00:00 AM,"(34.0687605, -117.8988995)",64,322,1653,64,255,217,216,212,211,211
Housing & Real Estate,Homelessness,Total Homeless Population,2018,0,"Census Tract 5039.01, Los Angeles County, California",503901,La Mirada,1400000US06037503901,Total_Homeless_Population_2018_1400000US06037503901,01/01/2018 12:00:00 AM,"(33.8905285, -118.0057775)",82,310,1681,82,124,146,150,153,154,154
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 4081.41, Los Angeles County, California",408141,South San Jose Hills,1400000US06037408141,Sheltered_Population_2017_1400000US06037408141,01/01/2017 12:00:00 AM,"(34.0082915, -117.8946755)",,316,1330,,218,192,186,188,189,189
Housing & Real Estate,Homelessness,Unsheltered Population,2018,25,"Census Tract 4047.02, Los Angeles County, California",404702,Baldwin Park,1400000US06037404702,Unsheltered_Population_2018_1400000US06037404702,01/01/2018 12:00:00 AM,"(34.0719255, -117.9838755)",70,331,1626,70,20,68,68,69,70,69
Housing & Real Estate,Homelessness,Unsheltered Population,2017,22,"Census Tract 4048.03, Los Angeles County, California",404803,Baldwin Park,1400000US06037404803,Unsheltered_Population_2017_1400000US06037404803,01/01/2017 12:00:00 AM,"(34.066904, -117.9657045)",70,331,1627,70,20,68,68,69,70,69
Housing & Real Estate,Homelessness,Total Homeless Population,2018,3,"Census Tract 4034.01, Los Angeles County, California",403401,West Covina,1400000US06037403401,Total_Homeless_Population_2018_1400000US06037403401,01/01/2018 12:00:00 AM,"(34.013924, -117.871149)",64,322,1328,64,255,217,216,212,211,211
Housing & Real Estate,Homelessness,Total Homeless Population,2018,29,"Census Tract 5007, Los Angeles County, California",500700,Pico Rivera,1400000US06037500700,Total_Homeless_Population_2018_1400000US06037500700,01/01/2018 12:00:00 AM,"(33.99491, -118.097667)",77,333,1401,77,174,174,167,170,169,169
Housing & Real Estate,Homelessness,Total Homeless Population,2018,5,"Census Tract 4807.04, Los Angeles County, California",480704,South Pasadena,1400000US06037480704,Total_Homeless_Population_2018_1400000US06037480704,01/01/2018 12:00:00 AM,"(34.107212, -118.15331)",34,257,638,34,216,213,213,209,209,209
Housing & Real Estate,Homelessness,Unsheltered Population,2018,7,"Census Tract 5018.03, Los Angeles County, California",501803,Whittier,1400000US06037501803,Unsheltered_Population_2018_1400000US06037501803,01/01/2018 12:00:00 AM,"(33.970589, -118.042077)",80,160,443,80,266,22,22,22,23,23
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 5029.01, Los Angeles County, California",502901,South Whittier,1400000US06037502901,Sheltered_Population_2017_1400000US06037502901,01/01/2017 12:00:00 AM,"(33.9461085, -118.03893)",,292,2304,,219,80,80,81,81,79
Housing & Real Estate,Homelessness,Unsheltered Population,2017,2,"Census Tract 4037.22, Los Angeles County, California",403722,Covina,1400000US06037403722,Unsheltered_Population_2017_1400000US06037403722,01/01/2017 12:00:00 AM,"(34.088417, -117.872513)",42,271,1611,42,56,4,4,4,4,4
Housing & Real Estate,Homelessness,Total Homeless Population,2018,6,"Census Tract 4043.01, Los Angeles County, California",404301,Azusa,1400000US06037404301,Total_Homeless_Population_2018_1400000US06037404301,01/01/2018 12:00:00 AM,"(34.1275255, -117.9040845)",13,230,1172,13,18,78,78,79,79,77
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 4056, Los Angeles County, California",405600,West Covina,1400000US06037405600,Sheltered_Population_2018_1400000US06037405600,01/01/2018 12:00:00 AM,"(34.080479, -117.9164905)",64,322,1649,64,255,217,216,212,211,211
Housing & Real Estate,Homelessness,Total Homeless Population,2018,5,"Census Tract 4335.04, Los Angeles County, California",433504,South El Monte,1400000US06037433504,Total_Homeless_Population_2018_1400000US06037433504,01/01/2018 12:00:00 AM,"(34.0572675, -118.0534915)",63,321,1078,63,213,140,136,139,141,141
Housing & Real Estate,Homelessness,Unsheltered Population,2017,1,"Census Tract 4061.02, Los Angeles County, California",406102,Covina,1400000US06037406102,Unsheltered_Population_2017_1400000US06037406102,01/01/2017 12:00:00 AM,"(34.080762, -117.8901315)",42,271,5,42,56,4,4,4,4,4
Housing & Real Estate,Homelessness,Unsheltered Population,2018,5,"Census Tract 5318, Los Angeles County, California",531800,East Los Angeles,1400000US06037531800,Unsheltered_Population_2018_1400000US06037531800,01/01/2018 12:00:00 AM,"(34.0189945, -118.137963)",,220,133,,69,41,41,42,43,43
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 4816.06, Los Angeles County, California",481606,Alhambra,1400000US06037481606,Sheltered_Population_2017_1400000US06037481606,01/01/2017 12:00:00 AM,"(34.0766865, -118.1256875)",30,263,980,30,5,165,160,162,160,160
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 4825.02, Los Angeles County, California",482502,Rosemead,1400000US06037482502,Sheltered_Population_2017_1400000US06037482502,01/01/2017 12:00:00 AM,"(34.058981, -118.1037825)",68,328,439,68,191,194,188,190,191,191
Housing & Real Estate,Homelessness,Unsheltered Population,2017,0,"Census Tract 4817.14, Los Angeles County, California",481714,Monterey Park,1400000US06037481714,Unsheltered_Population_2017_1400000US06037481714,01/01/2017 12:00:00 AM,"(34.0643065, -118.1291595)",87,299,2117,87,155,102,103,106,102,101
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 4058, Los Angeles County, California",405800,Covina,1400000US06037405800,Sheltered_Population_2018_1400000US06037405800,01/01/2018 12:00:00 AM,"(34.103307, -117.9121645)",42,271,316,42,56,4,4,4,4,4
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 4086.25, Los Angeles County, California",408625,Hacienda Heights,1400000US06037408625,Sheltered_Population_2018_1400000US06037408625,01/01/2018 12:00:00 AM,"(33.989193, -117.9634505)",,325,1036,,93,12,12,12,35,35
Housing & Real Estate,Homelessness,Total Homeless Population,2018,0,"Census Tract 4800.02, Los Angeles County, California",480002,East San Gabriel,1400000US06037480002,Total_Homeless_Population_2018_1400000US06037480002,01/01/2018 12:00:00 AM,"(34.121451, -118.086002)",,185,119,,71,3,3,3,3,3
Housing & Real Estate,Homelessness,Total Homeless Population,2018,9,"Census Tract 4017.01, Los Angeles County, California",401701,Claremont,1400000US06037401701,Total_Homeless_Population_2018_1400000US06037401701,01/01/2018 12:00:00 AM,"(34.114338, -117.7436235)",45,206,2329,45,49,186,182,182,183,183
Housing & Real Estate,Homelessness,Unsheltered Population,2017,24,"Census Tract 5321.01, Los Angeles County, California",532101,Montebello,1400000US06037532101,Unsheltered_Population_2017_1400000US06037532101,01/01/2017 12:00:00 AM,"(34.004803, -118.1053765)",67,326,1095,67,153,265,266,265,265,265
Housing & Real Estate,Homelessness,Total Homeless Population,2017,0,"Census Tract 4081.33, Los Angeles County, California",408133,West Covina,1400000US06037408133,Total_Homeless_Population_2017_1400000US06037408133,01/01/2017 12:00:00 AM,"(34.024356, -117.9101125)",64,322,1327,64,255,217,216,212,211,211
Housing & Real Estate,Homelessness,Unsheltered Population,2018,50,"Census Tract 5301.02, Los Angeles County, California",530102,Montebello,1400000US06037530102,Unsheltered_Population_2018_1400000US06037530102,01/01/2018 12:00:00 AM,"(34.015395, -118.1155185)",67,326,1088,67,153,265,266,265,265,265
Housing & Real Estate,Homelessness,Total Homeless Population,2018,0,"Census Tract 4329.02, Los Angeles County, California",432902,Rosemead,1400000US06037432902,Total_Homeless_Population_2018_1400000US06037432902,01/01/2018 12:00:00 AM,"(34.0795, -118.06021)",68,328,1075,68,191,194,188,190,191,191
Housing & Real Estate,Homelessness,Total Homeless Population,2018,99,"Census Tract 4025.01, Los Angeles County, California",402501,Pomona,1400000US06037402501,Total_Homeless_Population_2018_1400000US06037402501,01/01/2018 12:00:00 AM,"(34.0547495, -117.7644575)",66,324,1279,66,178,47,47,48,48,48
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 4808.02, Los Angeles County, California",480802,Alhambra,1400000US06037480802,Sheltered_Population_2017_1400000US06037480802,01/01/2017 12:00:00 AM,"(34.0815825, -118.152446)",30,263,1359,30,5,165,160,162,160,160
Housing & Real Estate,Homelessness,Unsheltered Population,2018,3,"Census Tract 4065, Los Angeles County, California",406500,West Covina,1400000US06037406500,Unsheltered_Population_2018_1400000US06037406500,01/01/2018 12:00:00 AM,"(34.0666225, -117.919599)",64,322,2263,64,255,217,216,212,211,211
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 4045.03, Los Angeles County, California",404503,Vincent,1400000US06037404503,Sheltered_Population_2018_1400000US06037404503,01/01/2018 12:00:00 AM,"(34.110534, -117.9121425)",,203,2106,,247,36,36,37,37,37
Housing & Real Estate,Homelessness,Unsheltered Population,2018,0,"Census Tract 4335.03, Los Angeles County, California",433503,South El Monte,1400000US06037433503,Unsheltered_Population_2018_1400000US06037433503,01/01/2018 12:00:00 AM,"(34.0554575, -118.0490075)",63,321,2087,63,213,140,136,139,141,141
Housing & Real Estate,Homelessness,Total Homeless Population,2018,0,"Census Tract 4313, Los Angeles County, California",431300,Mayflower Village,1400000US06037431300,Total_Homeless_Population_2018_1400000US06037431300,01/01/2018 12:00:00 AM,"(34.1248395, -118.007363)",,190,1044,,142,11,11,11,11,11
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 4085.04, Los Angeles County, California",408504,Hacienda Heights,1400000US06037408504,Sheltered_Population_2017_1400000US06037408504,01/01/2017 12:00:00 AM,"(33.9992735, -117.971451)",,325,2062,,93,12,12,12,35,35
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 4034.06, Los Angeles County, California",403406,Walnut,1400000US06037403406,Sheltered_Population_2018_1400000US06037403406,01/01/2018 12:00:00 AM,"(34.044617, -117.8547135)",79,53,823,79,248,81,81,82,84,80
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 4338.02, Los Angeles County, California",433802,Whittier Narrows,1400000US06037433802,Sheltered_Population_2018_1400000US06037433802,01/01/2018 12:00:00 AM,"(34.032494, -118.0598455)",,317,1097,,267,203,201,200,199,199
Housing & Real Estate,Homelessness,Total Homeless Population,2017,2,"Census Tract 5018.02, Los Angeles County, California",501802,Whittier,1400000US06037501802,Total_Homeless_Population_2017_1400000US06037501802,01/01/2017 12:00:00 AM,"(33.966778, -118.0280925)",80,160,1959,80,266,22,22,22,23,23
Housing & Real Estate,Homelessness,Unsheltered Population,2018,19,"Census Tract 4026, Los Angeles County, California",402600,Pomona,1400000US06037402600,Unsheltered_Population_2018_1400000US06037402600,01/01/2018 12:00:00 AM,"(34.069537, -117.744427)",66,324,947,66,178,47,47,48,48,48
Housing & Real Estate,Homelessness,Total Homeless Population,2017,0,"Census Tract 5040.02, Los Angeles County, California",504002,La Mirada,1400000US06037504002,Total_Homeless_Population_2017_1400000US06037504002,01/01/2017 12:00:00 AM,"(33.908827, -118.0235205)",82,310,481,82,124,146,150,153,154,154
Housing & Real Estate,Homelessness,Total Homeless Population,2018,4,"Census Tract 4820.02, Los Angeles County, California",482002,Monterey Park,1400000US06037482002,Total_Homeless_Population_2018_1400000US06037482002,01/01/2018 12:00:00 AM,"(34.048942, -118.1497955)",87,299,123,87,155,102,103,106,102,101
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 4033.05, Los Angeles County, California",403305,Diamond Bar,1400000US06037403305,Sheltered_Population_2017_1400000US06037403305,01/01/2017 12:00:00 AM,"(33.976342, -117.84839)",61,315,820,61,60,76,76,77,78,75
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 4081.34, Los Angeles County, California",408134,West Covina,1400000US06037408134,Sheltered_Population_2018_1400000US06037408134,01/01/2018 12:00:00 AM,"(34.0229315, -117.897437)",64,322,381,64,255,217,216,212,211,211
Housing & Real Estate,Homelessness,Unsheltered Population,2017,5,"Census Tract 4338.01, Los Angeles County, California",433801,South El Monte,1400000US06037433801,Unsheltered_Population_2017_1400000US06037433801,01/01/2017 12:00:00 AM,"(34.0483455, -118.0364625)",63,321,1343,63,213,140,136,139,141,141
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 5002.01, Los Angeles County, California",500201,La Habra Heights,1400000US06037500201,Sheltered_Population_2018_1400000US06037500201,01/01/2018 12:00:00 AM,"(33.957535, -117.9759805)",83,293,2273,83,116,105,105,108,104,103
Housing & Real Estate,Homelessness,Total Homeless Population,2018,62,"Census Tract 4027.02, Los Angeles County, California",402702,Pomona,1400000US06037402702,Total_Homeless_Population_2018_1400000US06037402702,01/01/2018 12:00:00 AM,"(34.064005, -117.726868)",66,324,1945,66,178,47,47,48,48,48
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 5015.03, Los Angeles County, California",501503,Whittier,1400000US06037501503,Sheltered_Population_2017_1400000US06037501503,01/01/2017 12:00:00 AM,"(33.986326, -118.0361225)",80,160,442,80,266,22,22,22,23,23
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 5317.02, Los Angeles County, California",531702,East Los Angeles,1400000US06037531702,Sheltered_Population_2018_1400000US06037531702,01/01/2018 12:00:00 AM,"(34.015819, -118.159798)",,220,487,,69,41,41,42,43,43
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 4333.04, Los Angeles County, California",433304,El Monte,1400000US06037433304,Sheltered_Population_2018_1400000US06037433304,01/01/2018 12:00:00 AM,"(34.07061, -118.020361)",65,323,2068,65,73,127,123,126,123,123
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 4333.07, Los Angeles County, California",433307,El Monte,1400000US06037433307,Sheltered_Population_2018_1400000US06037433307,01/01/2018 12:00:00 AM,"(34.0703895, -118.0062695)",65,323,554,65,73,127,123,126,123,123
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 4803.04, Los Angeles County, California",480304,Alhambra,1400000US06037480304,Sheltered_Population_2017_1400000US06037480304,01/01/2017 12:00:00 AM,"(34.0960955, -118.1307685)",30,263,2097,30,5,165,160,162,160,160
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 5031.04, Los Angeles County, California",503104,South Whittier,1400000US06037503104,Sheltered_Population_2018_1400000US06037503104,01/01/2018 12:00:00 AM,"(33.9212825, -118.041571)",,292,642,,219,80,80,81,81,79
Housing & Real Estate,Homelessness,Unsheltered Population,2018,3,"Census Tract 4078.02, Los Angeles County, California",407802,Industry,1400000US06037407802,Unsheltered_Population_2018_1400000US06037407802,01/01/2018 12:00:00 AM,"(34.0264515, -117.931011)",69,329,989,69,111,7,7,7,7,7
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 4825.22, Los Angeles County, California",482522,Montebello,1400000US06037482522,Sheltered_Population_2017_1400000US06037482522,01/01/2017 12:00:00 AM,"(34.0419995, -118.0936075)",67,326,998,67,153,265,266,265,265,265
Housing & Real Estate,Homelessness,Total Homeless Population,2017,0,"Census Tract 4828, Los Angeles County, California",482800,Monterey Park,1400000US06037482800,Total_Homeless_Population_2017_1400000US06037482800,01/01/2017 12:00:00 AM,"(34.0362975, -118.1119885)",87,299,440,87,155,102,103,106,102,101
Housing & Real Estate,Homelessness,Unsheltered Population,2018,0,"Census Tract 4809.03, Los Angeles County, California",480903,Alhambra,1400000US06037480903,Unsheltered_Population_2018_1400000US06037480903,01/01/2018 12:00:00 AM,"(34.0737895, -118.139436)",30,263,2271,30,5,165,160,162,160,160
Housing & Real Estate,Homelessness,Total Homeless Population,2017,0,"Census Tract 4818, Los Angeles County, California",481800,Alhambra,1400000US06037481800,Total_Homeless_Population_2017_1400000US06037481800,01/01/2017 12:00:00 AM,"(34.064906, -118.141417)",30,263,981,30,5,165,160,162,160,160
Housing & Real Estate,Homelessness,Unsheltered Population,2018,0,"Census Tract 5033.01, Los Angeles County, California",503301,Whittier,1400000US06037503301,Unsheltered_Population_2018_1400000US06037503301,01/01/2018 12:00:00 AM,"(33.9478135, -118.0159295)",80,160,2047,80,266,22,22,22,23,23
Housing & Real Estate,Homelessness,Unsheltered Population,2018,9,"Census Tract 5300.06, Los Angeles County, California",530006,Montebello,1400000US06037530006,Unsheltered_Population_2018_1400000US06037530006,01/01/2018 12:00:00 AM,"(34.0207055, -118.113921)",67,326,131,67,153,265,266,265,265,265
Housing & Real Estate,Homelessness,Total Homeless Population,2017,0,"Census Tract 4083.03, Los Angeles County, California",408303,Avocado Heights,1400000US06037408303,Total_Homeless_Population_2017_1400000US06037408303,01/01/2017 12:00:00 AM,"(34.035328, -118.0084775)",,317,994,,16,1,1,1,1,1
Housing & Real Estate,Homelessness,Unsheltered Population,2017,15,"Census Tract 4050.02, Los Angeles County, California",405002,Baldwin Park,1400000US06037405002,Unsheltered_Population_2017_1400000US06037405002,01/01/2017 12:00:00 AM,"(34.103336, -117.9489975)",70,331,692,70,20,68,68,69,70,69
Housing & Real Estate,Homelessness,Total Homeless Population,2018,5,"Census Tract 4004.04, Los Angeles County, California",400404,Glendora,1400000US06037400404,Total_Homeless_Population_2018_1400000US06037400404,01/01/2018 12:00:00 AM,"(34.157878, -117.8203355)",17,233,2239,17,87,115,113,116,115,113
Housing & Real Estate,Homelessness,Total Homeless Population,2017,12,"Census Tract 4310.01, Los Angeles County, California",431001,Monrovia,1400000US06037431001,Total_Homeless_Population_2017_1400000US06037431001,01/01/2017 12:00:00 AM,"(34.148164, -118.0057195)",18,234,376,18,151,13,13,13,13,13
Housing & Real Estate,Homelessness,Unsheltered Population,2017,7,"Census Tract 3111, Los Angeles County, California",311100,Burbank,1400000US06037311100,Unsheltered_Population_2017_1400000US06037311100,01/01/2017 12:00:00 AM,"(34.1859125, -118.355053)",36,266,714,36,33,185,181,181,182,182
Housing & Real Estate,Homelessness,Total Homeless Population,2018,11,"Census Tract 3111, Los Angeles County, California",311100,Burbank,1400000US06037311100,Total_Homeless_Population_2018_1400000US06037311100,01/01/2018 12:00:00 AM,"(34.1859125, -118.355053)",36,266,714,36,33,185,181,181,182,182
Housing & Real Estate,Homelessness,Total Homeless Population,2017,1,"Census Tract 4086.25, Los Angeles County, California",408625,Hacienda Heights,1400000US06037408625,Total_Homeless_Population_2017_1400000US06037408625,01/01/2017 12:00:00 AM,"(33.989193, -117.9634505)",,325,1036,,93,12,12,12,35,35
Housing & Real Estate,Homelessness,Total Homeless Population,2018,1,"Census Tract 4003.04, Los Angeles County, California",400304,San Dimas,1400000US06037400304,Total_Homeless_Population_2018_1400000US06037400304,01/01/2018 12:00:00 AM,"(34.1050345, -117.7997755)",78,334,921,78,193,135,131,134,137,137
Housing & Real Estate,Homelessness,Unsheltered Population,2017,0,"Census Tract 5032.01, Los Angeles County, California",503201,South Whittier,1400000US06037503201,Unsheltered_Population_2017_1400000US06037503201,01/01/2017 12:00:00 AM,"(33.9319075, -118.0270415)",,292,1676,,219,80,80,81,81,79
Housing & Real Estate,Homelessness,Total Homeless Population,2017,20,"Census Tract 4337, Los Angeles County, California",433700,South El Monte,1400000US06037433700,Total_Homeless_Population_2017_1400000US06037433700,01/01/2017 12:00:00 AM,"(34.045791, -118.058566)",63,321,1096,63,213,140,136,139,141,141
Housing & Real Estate,Homelessness,Total Homeless Population,2017,41,"Census Tract 5321.02, Los Angeles County, California",532102,Montebello,1400000US06037532102,Total_Homeless_Population_2017_1400000US06037532102,01/01/2017 12:00:00 AM,"(33.997581, -118.111544)",67,326,1696,67,153,265,266,265,265,265
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 4013.11, Los Angeles County, California",401311,San Dimas,1400000US06037401311,Sheltered_Population_2018_1400000US06037401311,01/01/2018 12:00:00 AM,"(34.1100455, -117.815531)",78,334,1942,78,193,135,131,134,137,137
Housing & Real Estate,Homelessness,Sheltered Population,2018,0,"Census Tract 4318, Los Angeles County, California",431800,East San Gabriel,1400000US06037431800,Sheltered_Population_2018_1400000US06037431800,01/01/2018 12:00:00 AM,"(34.1196565, -118.060933)",,185,377,,71,3,3,3,3,3
Housing & Real Estate,Homelessness,Total Homeless Population,2017,14,"Census Tract 4801.02, Los Angeles County, California",480102,East San Gabriel,1400000US06037480102,Total_Homeless_Population_2017_1400000US06037480102,01/01/2017 12:00:00 AM,"(34.108457, -118.0841215)",,185,435,,71,3,3,3,3,3
Housing & Real Estate,Homelessness,Sheltered Population,2017,0,"Census Tract 3113, Los Angeles County, California",311300,Burbank,1400000US06037311300,Sheltered_Population_2017_1400000US06037311300,01/01/2017 12:00:00 AM,"(34.173525, -118.342414)",36,266,914,36,33,185,181,181,182,182
Housing & Real Estate,Homelessness,Total Homeless Population,2018,17,"Census Tract 4052.03, Los Angeles County, California",405203,Baldwin Park,1400000US06037405203,Total_Homeless_Population_2018_1400000US06037405203,01/01/2018 12:00:00 AM,"(34.076437, -117.956923)",70,331,315,70,20,68,68,69,70,69
Housing & Real Estate,Homelessness,Unsheltered Population,2018,0,"Census Tract 4004.03, Los Angeles County, California",400403,San Dimas,1400000US06037400403,Unsheltered_Population_2018_1400000US06037400403,01/01/2018 12:00:00 AM,"(34.141358, -117.793128)",78,334,936,78,193,135,131,134,137,137
